auto_id,image_id,session_id,filepath,i_date,i_gpsIndicator,i_latitude,i_longitude,temperature,colour,accel_x,accel_y,accel_z,magnet_x,magnet_y,magnet_z,pir,eImgsizes,eImgTypes,eAlt,eSpeed,eHorzErr,eVertErr,eExposure,eGain,eRBal,eGBal,eBBal,eXOr,eYOr,eZOr,eLinkID,eRed,eGreen,eBlue,eLum,eCamID,eExifOr,eBlur,eBlur2,eAvgLuminance
4335,b00000013_21i4tk_20150325_140322,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000013_21i4tk_20150325_140322e.jpg,2015-03-25T14:03:22,1,0,0,21.1,0,-0.616,-1.043,0.061,-0.001,0.658,-0.292,1,4014,2,0,0,0,0,1,1.25,1.5,1,1.281,90.175,-99.67,305.13,3374C7FC-E91F-445C-A5F8-C48C59F34FDD,52969,58746,42383,65535,123458024,<null>,0,0,0
4334,b00000014_21i4tk_20150325_140348,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000014_21i4tk_20150325_140348e.jpg,2015-03-25T14:03:49,1,0,0,21.1,0,0.323,-1.575,-0.448,-0.319,0.658,-0.588,1,4014,2,0,0,0,0,1,1.25,1.625,1,1.156,91.041,-92.15,331.53,FB1B3745-E74E-4CC5-8422-489CFF194E35,50951,56918,42295,65535,123458024,<null>,0,0,0
4332,b00000015_21i4tk_20150325_140414,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000015_21i4tk_20150325_140414e.jpg,2015-03-25T14:04:15,1,0,0,21.1,0,-0.204,-1.389,-0.067,-0.301,0.652,-0.603,1,4014,2,0,0,0,0,1,1.25,1.594,1,1.25,95.629,-88.44,325.55,ECA851CF-5284-40D0-97EB-DBD9DD284A13,52669,53474,36226,65535,123458024,<null>,0,0,0
4337,b00000016_21i4tk_20150325_140440,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000016_21i4tk_20150325_140440e.jpg,2015-03-25T14:04:41,1,0,0,21.1,0,-0.034,-1.027,-0.152,-0.34,0.636,-0.338,1,4014,2,0,0,0,0,1,1.31,1.594,1,1.344,96.706,-89.44,318.37,B2151E89-65C4-4D30-965B-96108A3650FE,64813,65535,45955,65535,123458024,<null>,0,0,0
4338,b00000017_21i4tk_20150325_140506,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000017_21i4tk_20150325_140506e.jpg,2015-03-25T14:05:07,1,0,0,21.1,0,-0.008,-1.062,-0.198,-0.254,0.64,-0.263,1,4014,2,0,0,0,0,1,1.25,1.531,1,1.344,97.899,-89.49,321.51,6793D486-B772-4975-BDEF-0DE098845FC2,65535,65535,47308,65535,123458024,<null>,0,0,0
4339,b00000018_21i4tk_20150325_140532,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000018_21i4tk_20150325_140532e.jpg,2015-03-25T14:05:33,1,0,0,24.6,0,-0.339,-1.53,-0.143,-0.173,0.621,-0.183,1,4014,2,0,0,0,0,1,1.25,1.531,1,1.344,98.33,-88.62,319.19,A909E9A8-C58C-456A-9CA2-853EAA8385AD,65535,65535,50779,65535,123458024,<null>,0,0,0
4336,b00000019_21i4tk_20150325_140558,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000019_21i4tk_20150325_140558e.jpg,2015-03-25T14:05:59,1,0,0,24.6,0,-0.198,-1.158,-0.353,-0.246,0.636,-0.243,1,4014,2,0,0,0,0,1,1.25,1.531,1,1.375,98.767,-89.68,323.04,10AD8167-6502-4067-8996-AAD586CED335,65535,65535,47469,65535,123458024,<null>,0,0,0
4343,b00000020_21i4tk_20150325_140624,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000020_21i4tk_20150325_140624e.jpg,2015-03-25T14:06:25,1,0,0,24.6,0,0.212,-1.301,-0.4,-0.216,0.63,-0.217,1,4014,2,0,0,0,0,1,1.25,1.5,1,1.406,99.382,-88.64,318.14,0F82A903-4BD0-4708-ACEF-9C8BA2EEF30E,65535,65535,44200,65535,123458024,<null>,0,0,0
4342,b00000021_21i4tk_20150325_140650,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000021_21i4tk_20150325_140650e.jpg,2015-03-25T14:06:51,1,0,0,20.8,0,0.1,-0.784,-0.103,-0.21,0.609,-0.168,1,4014,2,0,0,0,0,1,1.25,1.5,1,1.406,103.32,-90.73,329.46,7268AB0F-27D4-4D54-9FB6-36922A579017,65535,65535,46958,65535,123458024,<null>,0,0,0
4341,b00000022_21i4tk_20150325_140716,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000022_21i4tk_20150325_140716e.jpg,2015-03-25T14:07:17,1,0,0,20.8,0,-0.071,-0.68,0.004,-0.133,0.6,-0.137,1,4014,2,0,0,0,0,1,1.25,1.5,1,1.375,102.67,-89.12,331.93,3CEE8874-A9A7-41F9-842B-E4C4CC3629C8,65535,65535,53240,65535,123458024,<null>,0,0,0
4340,b00000023_21i4tk_20150325_140742,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000023_21i4tk_20150325_140742e.jpg,2015-03-25T14:07:43,1,0,0,20.8,0,-0.033,-0.626,-0.136,-0.188,0.621,-0.19,1,4014,2,0,0,0,0,1,1.25,1.5,1,1.375,100.1,-90.87,330.07,D996A393-3B34-40EA-9F98-D31FF74AEFAE,65535,65535,51292,65535,123458024,<null>,0,0,0
4346,b00000024_21i4tk_20150325_140808,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000024_21i4tk_20150325_140808e.jpg,2015-03-25T14:08:09,1,0,0,20.8,0,0.101,-0.603,-0.135,-0.169,0.618,-0.172,1,4014,2,0,0,0,0,1,1.25,1.5,1,1.344,100.46,-89.66,328.97,26693214-DFE5-4D01-B83D-F07FD344CED6,65535,65535,45096,65535,123458024,<null>,0,0,0
